sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_lt","event_count","exec_time","result_count","savedsearch_name","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"rt_md_1560782227.838","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1560782228.037334",1,"UI:Search",,,0,1560782228,0,,0,,,failed,"38.300000000000004",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560782242.841","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560782242.406854",0,"UI:Dashboard:git_backup","1560693600.000000000","1560782242.000000000",34,1560782242,1,search1,34,"1560693600.000000000","1560782242.000000000",completed,"0.655",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560782242.842","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560782242.414748",0,"UI:Dashboard:git_backup","1560693600.000000000","1560782242.000000000",34,1560782242,25,search2,34,"1560693600.000000000","1560782242.000000000",completed,"0.554",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560782286.843","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560782286.272461",0,"UI:Dashboard:git_backup","1560781386.000000000","1560782286.000000000",35,1560782286,1,search2,35,"1560781386.000000000","1560782286.000000000",canceled,"0.431",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560782286.844","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560782286.281371",0,"UI:Dashboard:git_backup","1560781386.000000000","1560782286.000000000",35,1560782286,1,search1,35,"1560781386.000000000","1560782286.000000000",canceled,"0.435",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560782294.845","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560782294.069300",0,"UI:Dashboard:git_backup","1560778680.000000000","1560782294.000000000",35,1560782294,2,search2,35,"1560778680.000000000","1560782294.000000000",completed,"0.391",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560782294.846","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560782294.071014",0,"UI:Dashboard:git_backup","1560778680.000000000","1560782294.000000000",35,1560782294,1,search1,35,"1560778680.000000000","1560782294.000000000",completed,"0.387",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560782601.855","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560782601.796681",0,"UI:Dashboard:git_backup","1560778980.000000000","1560782601.000000000",35,1560782602,1,search1,35,"1560778980.000000000","1560782601.000000000",canceled,"0.40800000000000003",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560782601.856","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560782601.805714",0,"UI:Dashboard:git_backup","1560778980.000000000","1560782601.000000000",35,1560782602,2,search2,35,"1560778980.000000000","1560782601.000000000",completed,"0.41200000000000003",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560782613.857","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560782613.406413",0,"UI:Dashboard:git_backup","1560781713.000000000","1560782613.000000000",35,1560782613,1,search2,35,"1560781713.000000000","1560782613.000000000",completed,"0.443",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560782613.858","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560782613.422952",0,"UI:Dashboard:git_backup","1560781713.000000000","1560782613.000000000",35,1560782613,1,search1,35,"1560781713.000000000","1560782613.000000000",completed,"0.496",,,,,,,,,,,,,,,,,
"rt_md_1560783382.870","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1560783382.787699",1,"UI:Search",,,0,1560783383,0,,0,,,failed,"34.105000000000004",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560783389.873","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560783389.545428",0,"UI:Dashboard:git_backup","1560693600.000000000","1560783389.000000000",35,1560783389,25,search2,35,"1560693600.000000000","1560783389.000000000",completed,"0.398",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560783397.874","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560783397.222380",0,"UI:Dashboard:git_backup","1560782497.000000000","1560783397.000000000",0,1560783397,1,search1,0,"1560782497.000000000","1560783397.000000000",completed,"0.42",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560783397.875","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560783397.236911",0,"UI:Dashboard:git_backup","1560782497.000000000","1560783397.000000000",0,1560783397,0,search2,0,"1560782497.000000000","1560783397.000000000",completed,"0.388",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560783516.879","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560783516.889435",0,"UI:Dashboard:git_backup","1560782616.000000000","1560783516.000000000",1,1560783517,1,search1,1,"1560782616.000000000","1560783516.000000000",completed,"0.384",,,,,,,,,,,,,,,,,
"1560783544.881","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560783544.670555",0,"UI:Search","1560782644.000000000","1560783544.000000000",1,1560783545,1,,1,"1560782644.000000000","1560783544.000000000",completed,"0.333",,,,,,,,,,,,,,,,,
"1560783634.886","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560783634.400380",0,"UI:Search","1560782734.000000000","1560783634.000000000",3,1560783634,2,,3,"1560782734.000000000","1560783634.000000000",completed,"0.304",,,,,,,,,,,,,,,,,
"1560783701.889","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560783701.923328",0,"UI:Search","1560782801.000000000","1560783701.000000000",4,1560783702,2,,4,"1560782801.000000000","1560783701.000000000",completed,"0.298",,,,,,,,,,,,,,,,,
"1560783715.890","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560783715.785009",0,"UI:Search","1560697200.000000000","1560783715.000000000",39,1560783716,25,,39,"1560697200.000000000","1560783715.000000000",completed,"0.322",,,,,,,,,,,,,,,,,
"1560783788.891","search index=os source=git_backup* | fields inserts deletes changes","Jonathons-MacBook-Air.local","1560783788.294090",0,"UI:Search","1560697200.000000000","1560783788.000000000",40,1560783788,40,,40,"1560697200.000000000","1560783788.000000000",completed,"0.434",,,,,,,,,,,,,,,,,
"1560783797.892","search index=os source=git_backup* | table inserts deletes changes","Jonathons-MacBook-Air.local","1560783797.633981",0,"UI:Search","1560697200.000000000","1560783797.000000000",41,1560783797,41,,41,"1560697200.000000000","1560783797.000000000",completed,"0.368",,,,,,,,,,,,,,,,,
"rt_md_1560881876.359","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1560881876.338102",1,"UI:Search",,,0,1560881876,0,,0,,,failed,"35.35",,,,,,,,,,,,,,,,,
"1560882394.375","search index=os sourcetype=git_backup","Jonathons-MacBook-Air.local","1560882394.308892",0,"UI:Search","1560881494.000000000","1560882394.000000000",0,1560882394,0,,0,"1560881494.000000000","1560882394.000000000",completed,"0.41400000000000003",,,,,,,,,,,,,,,,,
"rt_md_1560947297.13","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1560947297.459466",1,"UI:Search",,,0,1560947297,0,,0,,,failed,"32.22",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560947307.15","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560947307.253411",0,"UI:Dashboard:git_backup","1560859200.000000000","1560947307.000000000",3,1560947307,1,search1,3,"1560859200.000000000","1560947307.000000000",completed,"0.40800000000000003",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560947307.16","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560947307.256639",0,"UI:Dashboard:git_backup","1560859200.000000000","1560947307.000000000",3,1560947307,25,search2,3,"1560859200.000000000","1560947307.000000000",completed,"0.40800000000000003",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1560970126.102","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1560970126.696437",0,"UI:Dashboard:git_backup","1560880800.000000000","1560970126.000000000",4,1560970127,1,search1,4,"1560880800.000000000","1560970126.000000000",completed,"0.499",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560970126.103","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560970126.702403",0,"UI:Dashboard:git_backup","1560880800.000000000","1560970126.000000000",4,1560970127,25,search2,4,"1560880800.000000000","1560970126.000000000",completed,"0.507",,,,,,,,,,,,,,,,,
"1560973498.174","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560973498.443668",0,"UI:Search","1560884400.000000000","1560973498.000000000",3,1560973498,25,,3,"1560884400.000000000","1560973498.000000000",completed,"0.453",,,,,,,,,,,,,,,,,
"1560973505.178","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560973505.836029",0,"UI:Search","1560884400.000000000","1560973505.000000000",3,1560973505,25,,3,"1560884400.000000000","1560973505.000000000",completed,"0.429",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1560998386.6","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560998386.607745",0,"UI:Dashboard:git_backup","1560909600.000000000","1560998386.000000000",4,1560998392,25,search2,4,"1560909600.000000000","1560998386.000000000",completed,"3.997",,,,,,,,,,,,,,,,,
"1560998389.7","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1560998389.775820",0,"UI:Search","1560909600.000000000","1560998389.000000000",4,1560998392,25,,4,"1560909600.000000000","1560998389.000000000",completed,"3.986",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1561072555.837","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1561072555.294669",0,"UI:Dashboard:git_backup","1560985200.000000000","1561072555.000000000",3,1561072555,25,search2,3,"1560985200.000000000","1561072555.000000000",completed,"0.6",,,,,,,,,,,,,,,,,
"1561074316.876","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1561074316.890565",0,"UI:Search","1560985200.000000000","1561074316.000000000",3,1561074316,25,,3,"1560985200.000000000","1561074316.000000000",completed,"0.364",,,,,,,,,,,,,,,,,
"rt_md_1561134143.1579","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1561134143.404695",1,"UI:Search",,,0,1561134143,0,,0,,,failed,"32.226",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1561134152.1581","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1561134152.973664",0,"UI:Dashboard:git_backup","1561046400.000000000","1561134152.000000000",3,1561134153,1,search1,3,"1561046400.000000000","1561134152.000000000",canceled,"0.378",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1561134152.1582","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1561134152.979768",0,"UI:Dashboard:git_backup","1561046400.000000000","1561134152.000000000",3,1561134153,25,search2,3,"1561046400.000000000","1561134152.000000000",canceled,"0.384",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1561134172.1583","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1561134172.892794",0,"UI:Dashboard:git_backup","1561130520.000000000","1561134172.000000000",1,1561134173,1,search1,1,"1561130520.000000000","1561134172.000000000",completed,"0.404",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1561134172.1584","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1561134172.923622",0,"UI:Dashboard:git_backup","1561130520.000000000","1561134172.000000000",1,1561134173,2,search2,1,"1561130520.000000000","1561134172.000000000",completed,"0.37",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1561135623.1611","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1561135624.098271",0,"UI:Dashboard:git_backup","1561132020.000000000","1561135623.000000000",1,1561135624,1,search1,1,"1561132020.000000000","1561135623.000000000",canceled,"0.521",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1561135641.1614","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1561135641.877490",0,"UI:Dashboard:git_backup","1561111200.000000000","1561135641.000000000",1,1561135641,1,search1,1,"1561111200.000000000","1561135641.000000000",completed,"0.388",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1561135651.1616","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1561135651.723215",0,"UI:Dashboard:git_backup","1561104000.000000000","1561135651.000000000",1,1561135651,1,search1,1,"1561104000.000000000","1561135651.000000000",canceled,"0.41100000000000003",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1561135660.1618","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1561135660.788474",0,"UI:Dashboard:git_backup","1561096800.000000000","1561135660.000000000",1,1561135660,1,search1,1,"1561096800.000000000","1561135660.000000000",completed,"0.397",,,,,,,,,,,,,,,,,
"1561135690.1619","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1561135690.652122",0,"UI:Search","1561046400.000000000","1561135690.000000000",3,1561135691,25,,3,"1561046400.000000000","1561135690.000000000",completed,"0.406",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1561159717.292","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1561159717.133091",0,"UI:Dashboard:git_backup","1561122000.000000000","1561159717.000000000",2,1561159717,11,search2,2,"1561122000.000000000","1561159717.000000000",completed,"0.297",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1561159978.309","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1561159978.547776",0,"UI:Dashboard:git_backup","1561122000.000000000","1561159978.000000000",2,1561159978,1,search1,2,"1561122000.000000000","1561159978.000000000",completed,"0.375",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1561159978.310","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1561159978.550341",0,"UI:Dashboard:git_backup","1561122000.000000000","1561159978.000000000",2,1561159978,11,search2,2,"1561122000.000000000","1561159978.000000000",completed,"0.368",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search1_1561274011.1179","search index=os sourcetype=git_backup | stats count as ""number of backups"" sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes","Jonathons-MacBook-Air.local","1561274011.450971",0,"UI:Dashboard:git_backup","1561237200.000000000","1561274011.000000000",0,1561274012,1,search1,0,"1561237200.000000000","1561274011.000000000",completed,"1.285",,,,,,,,,,,,,,,,,
"admin__admin_SlRTX0dpdGh1Yl9CYWNrdXA__search2_1561274011.1180","search index=os source=git_backup* | timechart span=1h sum(changes) as changes  sum(inserts) as inserts sum(deletes) as deletes by source","Jonathons-MacBook-Air.local","1561274011.453291",0,"UI:Dashboard:git_backup","1561237200.000000000","1561274011.000000000",0,1561274011,0,search2,0,"1561237200.000000000","1561274011.000000000",completed,"1.207",,,,,,,,,,,,,,,,,
